"","INSPECTION_ID","ESTABLISHMENT_ID","IsED","MINIMUM_INSPECTIONS_PERYEAR","No_Infraction","Minor","Significant","Crucial","Total"
"1","103104457","10480689",0,"1",1,0,0,0,0
"2","103179834","10446741",0,"1",1,0,0,0,0
"3","103237909","10301889",0,"3",0,3,6,1,10
"4","103271010","10419900",0,"1",1,0,0,0,0
"5","103275264","10430127",0,"2",0,2,0,0,2
"6","103353763","10461062",0,"1",1,0,0,0,0
"7","103370479","9052660",0,"2",1,0,0,0,0
"8","103384487","10311684",0,"1",1,0,0,0,0
"9","103386417","10215693",0,"2",0,0,4,0,4
"10","103386511","9010334",0,"1",1,0,0,0,0
"11","103390877","10500972",0,"1",0,2,0,0,2
"12","103392336","10476099",0,"1",1,0,0,0,0
"13","103392539","10192185",0,"2",1,0,0,0,0
"14","103405475","10495326",1,"2",1,0,0,0,0
"15","103416605","9010863",0,"2",1,0,0,0,0
"16","103421103","10521787",0,"2",0,2,3,1,6
"17","103425721","10522317",0,"3",1,0,0,0,0
"18","103426751","10522425",0,"1",0,1,0,0,1
"19","103427080","10222372",0,"3",1,0,0,0,0
"20","103431283","10412135",0,"2",1,0,0,0,0
"21","103431585","9017400",0,"3",1,0,0,0,0
"22","103434829","9020942",0,"3",0,1,0,0,1
"23","103440391","10431193",0,"3",1,0,0,0,0
"24","103443076","10471290",0,"2",1,0,0,0,0
"25","103470759","9416431",0,"2",1,0,0,0,0
"26","103475259","9016931",0,"2",1,0,0,0,0
"27","103476548","9007752",0,"3",1,0,0,0,0
"28","103477101","9001241",0,"3",0,0,3,0,3
"29","103477725","10334029",0,"3",0,1,1,0,2
"30","103478614","9016287",0,"2",1,0,0,0,0
"31","103478992","9397606",0,"2",0,2,0,0,2
"32","103479947","10360232",0,"2",0,0,2,0,2
"33","103482618","10480674",0,"2",0,1,0,0,1
"34","103486018","10497549",0,"3",0,2,3,4,9
"35","103498105","10473937",0,"3",0,2,0,0,2
"36","103498911","10356874",0,"2",1,0,0,0,0
"37","103499222","10398644",0,"2",1,0,0,0,0
"38","103499634","10378731",0,"1",1,0,0,0,0
"39","103502676","10485591",0,"2",1,0,0,0,0
"40","103503936","10251115",0,"2",1,0,0,0,0
"41","103504044","9054246",0,"3",0,0,1,0,1
"42","103504632","10190827",0,"2",1,0,0,0,0
"43","103504995","10513435",0,"1",1,0,0,0,0
"44","103505832","9009044",0,"2",1,0,0,0,0
"45","103507671","10533279",0,"2",0,1,2,0,3
"46","103510369","10276826",0,"2",0,3,0,0,3
"47","103511601","10365643",0,"2",0,0,1,0,1
"48","103512189","9419265",0,"2",1,0,0,0,0
"49","103512390","10467617",0,"1",1,0,0,0,0
"50","103513073","9000306",0,"2",1,0,0,0,0
"51","103513158","10534098",0,"2",1,0,0,0,0
"52","103513501","9006980",0,"1",0,2,0,0,2
"53","103515302","9012783",0,"2",0,1,0,0,1
"54","103515918","9023026",0,"2",0,1,3,0,4
"55","103516625","10429058",0,"2",1,0,0,0,0
"56","103517119","10462721",0,"3",1,0,0,0,0
"57","103517765","9015423",0,"2",0,4,2,0,6
"58","103517774","9419393",0,"3",1,0,0,0,0
"59","103518328","10513401",0,"3",1,0,0,0,0
"60","103518788","9051018",0,"2",1,0,0,0,0
"61","103519227","9002870",0,"2",0,1,0,0,1
"62","103519274","10386789",0,"2",1,0,0,0,0
"63","103519423","10500262",0,"2",1,0,0,0,0
"64","103519461","10421091",0,"2",1,0,0,0,0
"65","103519873","9009514",0,"3",0,2,0,0,2
"66","103520180","10492042",0,"1",1,0,0,0,0
"67","103520182","10492045",0,"1",1,0,0,0,0
"68","103520940","10371045",0,"1",1,0,0,0,0
"69","103522354","10467587",0,"2",0,1,0,0,1
"70","103522454","10463538",0,"3",0,1,0,0,1
"71","103523191","10498786",0,"3",1,0,0,0,0
"72","103523891","10387441",0,"2",1,0,0,0,0
"73","103523958","10368134",0,"2",1,0,0,0,0
"74","103524118","10482871",0,"3",1,0,0,0,0
"75","103524150","9007272",0,"2",1,0,0,0,0
"76","103524332","9004045",0,"2",0,2,0,0,2
"77","103524361","10529484",0,"3",1,0,0,0,0
"78","103524373","10511102",0,"2",0,1,3,0,4
"79","103524458","9000667",0,"2",0,2,1,0,3
"80","103524462","10486031",0,"3",1,0,0,0,0
"81","103524468","10361299",0,"1",1,0,0,0,0
"82","103524574","10451666",0,"1",1,0,0,0,0
"83","103524575","10265254",0,"3",1,0,0,0,0
"84","103524576","9061720",0,"3",1,0,0,0,0
"85","103524677","9078607",0,"1",1,0,0,0,0
"86","103525076","9007686",0,"1",0,1,0,0,1
"87","103525187","9059729",0,"1",0,1,2,0,3
"88","103525202","9059729",0,"1",1,0,0,0,0
"89","103525274","9348408",0,"2",1,0,0,0,0
"90","103525276","9059234",0,"3",0,1,1,0,2
"91","103525378","9015392",0,"2",0,1,3,1,5
"92","103525384","9015392",0,"2",1,0,0,0,0
"93","103525508","10509111",0,"3",0,1,1,0,2
"94","103525513","10509111",0,"3",0,1,0,0,1
"95","103525517","10381223",0,"3",1,0,0,0,0
"96","103525593","9002466",0,"1",1,0,0,0,0
"97","103525630","10218906",0,"1",0,0,2,1,3
"98","103525634","10218906",0,"1",1,0,0,0,0
"99","103525670","9023026",0,"2",0,0,2,0,2
"100","103525738","10398435",0,"2",1,0,0,0,0
"101","103525745","10410374",0,"1",1,0,0,0,0
"102","103525769","10535974",0,"2",1,0,0,0,0
"103","103525811","9000572",0,"3",1,0,0,0,0
"104","103525812","9005686",0,"3",0,1,0,0,1
"105","103525877","9384815",0,"2",1,0,0,0,0
"106","103525884","10292822",0,"3",0,2,0,0,2
"107","103525886","10390847",1,"2",1,0,0,0,0
"108","103525889","9397780",0,"2",1,0,0,0,0
"109","103525933","9423435",0,"1",1,0,0,0,0
"110","103525945","10491537",0,"3",0,1,1,0,2
"111","103525947","10473374",0,"3",1,0,0,0,0
"112","103525950","9014036",0,"1",1,0,0,0,0
"113","103525958","10471411",0,"3",0,1,0,0,1
"114","103525966","10290353",0,"2",1,0,0,0,0
"115","103525967","10363328",0,"1",1,0,0,0,0
"116","103525969","10363325",0,"2",0,1,0,0,1
"117","103525970","9007964",0,"2",1,0,0,0,0
"118","103525980","10338020",0,"2",1,0,0,0,0
"119","103525994","10330268",0,"1",0,2,1,0,3
"120","103526003","10330268",0,"1",1,0,0,0,0
"121","103526012","9005994",0,"1",1,0,0,0,0
"122","103526018","10363894",0,"2",0,2,1,0,3
"123","103526022","10342542",0,"2",0,1,0,0,1
"124","103526037","10247945",0,"3",1,0,0,0,0
"125","103526039","10357721",0,"3",0,2,0,0,2
"126","103526042","10522214",0,"3",0,1,2,0,3
"127","103526057","10478016",0,"3",1,0,0,0,0
"128","103526063","10411874",0,"2",0,1,0,0,1
"129","103526088","9023260",0,"2",0,1,1,0,2
"130","103526091","9023260",0,"2",1,0,0,0,0
"131","103526110","10442783",0,"2",0,1,0,0,1
"132","103526118","10472041",0,"3",0,2,2,1,5
"133","103526120","10472041",0,"3",1,0,0,0,0
"134","103526133","10516832",0,"2",1,0,0,0,0
"135","103526209","10536042",1,"2",0,1,0,0,1
"136","103526315","10350001",0,"3",0,1,2,3,6
"137","103526317","10350001",0,"3",1,0,0,0,0
"138","103526334","10449835",0,"3",1,0,0,0,0
"139","103526336","10398343",0,"3",0,2,0,0,2
"140","103526344","10383545",0,"3",1,0,0,0,0
"141","103526414","9052660",0,"2",0,1,0,0,1
"142","103526440","9421520",0,"2",1,0,0,0,0
"143","103526446","10185511",0,"3",0,0,1,0,1
"144","103526449","10377345",0,"3",0,2,3,0,5
"145","103526529","10215690",0,"3",1,0,0,0,0
"146","103526575","10478150",0,"3",0,1,2,0,3
"147","103526576","10478150",0,"3",1,0,0,0,0
"148","103526595","10527234",0,"3",0,0,1,0,1
"149","103526613","10458136",0,"2",1,0,0,0,0
"150","103526671","9001846",0,"1",1,0,0,0,0
"151","103526675","10489578",0,"1",0,1,1,1,3
"152","103526679","10489578",0,"1",1,0,0,0,0
"153","103526733","9015099",0,"3",1,0,0,0,0
"154","103526736","9001900",0,"3",1,0,0,0,0
"155","103526757","10489280",0,"1",1,0,0,0,0
"156","103526782","10432684",0,"2",1,0,0,0,0
"157","103526789","10440550",0,"2",1,0,0,0,0
"158","103526791","10432654",0,"2",0,2,0,0,2
"159","103526831","10482389",0,"2",1,0,0,0,0
"160","103526832","10252685",0,"3",1,0,0,0,0
"161","103526835","10521714",0,"2",1,0,0,0,0
"162","103526841","10513982",0,"2",1,0,0,0,0
