field_1,lat,long,input_address,estblishment in ent dist_IsEnt
1,43.7682162,-79.2286383,"870 MARKHAM RD , Toronto, ON, Canada",
2,43.6981856,-79.5028476,"1550 JANE ST , Toronto, ON, Canada",
3,43.7180667,-79.4550704,"1635 LAWRENCE AVE W, Toronto, ON, Canada",
4,43.6053157,-79.5472085,"606 BROWNS LINE , Toronto, ON, Canada",
5,43.7205099,-79.6000778,"500 REXDALE BLVD , Toronto, ON, Canada",
6,43.7063453,-79.5049798,"1788 JANE ST , Toronto, ON, Canada",
7,43.7318851,-79.271141,"2372 EGLINTON AVE E, Toronto, ON, Canada",
8,43.6910074,-79.4715162,"2548 EGLINTON AVE W, Toronto, ON, Canada",
9,43.671495,-79.493246,"759 JANE ST , Toronto, ON, Canada",
10,43.6406486,-79.436877,"1468 QUEEN ST W, Toronto, ON, Canada",
11,43.6491397,-79.3762015,"37 KING ST E, Toronto, ON, Canada",
12,43.6478334,-79.3946006,"401 RICHMOND ST W, Toronto, ON, Canada",1
13,43.6779223,-79.3493149,"493 DANFORTH AVE , Toronto, ON, Canada",
14,43.6780201,-79.3482498,"521 DANFORTH AVE , Toronto, ON, Canada",
15,43.6874497,-79.2862534,"2480 GERRARD ST E, Toronto, ON, Canada",
16,43.739001,-79.5394423,"3228 WESTON RD , Toronto, ON, Canada",
17,43.6684874,-79.3867142,"7 CHARLES ST W, Toronto, ON, Canada",
18,43.8091192,-79.2908297,"3380 MIDLAND AVE , Toronto, ON, Canada",
19,43.682211,-79.3296605,"1308 DANFORTH AVE , Toronto, ON, Canada",
20,43.6229188,-79.5604207,"170 THE WEST MALL  , Toronto, ON, Canada",
21,43.6279709,-79.5529418,"25 VICKERS RD , Toronto, ON, Canada",
22,43.6316979,-79.5551409,"250 THE EAST MALL  , Toronto, ON, Canada",
23,43.7072763,-79.3995622,"2300 YONGE ST , Toronto, ON, Canada",
24,43.6435205,-79.3790818,"40 BAY ST , Toronto, ON, Canada",
25,43.6591685,-79.4848294,"680 ANNETTE ST , Toronto, ON, Canada",
26,43.6778512,-79.4447766,"1220 ST CLAIR AVE W, Toronto, ON, Canada",
27,43.6133036,-79.5405119,"1 BESTOBELL RD , Toronto, ON, Canada",
28,43.7184319,-79.3296125,"31 ST DENNIS DR , Toronto, ON, Canada",
29,43.6146726,-79.4891607,"2412 LAKE SHORE BLVD W, Toronto, ON, Canada",
30,43.6998617,-79.5157604,"1880 WESTON RD , Toronto, ON, Canada",
31,43.777321,-79.3217707,"20 CHICHESTER PL , Toronto, ON, Canada",
32,43.7357925,-79.2524099,"2619 EGLINTON AVE E, Toronto, ON, Canada",
33,43.8067139,-79.3381929,"3618 VICTORIA PARK AVE , Toronto, ON, Canada",
34,43.7031311,-79.4409718,"145 MARLEE AVE , Toronto, ON, Canada",
35,43.7042596,-79.5489912,"2101 ISLINGTON AVE , Toronto, ON, Canada",
36,43.7060251,-79.4708075,"1 HAFIS RD , Toronto, ON, Canada",
37,43.6969719,-79.4628736,"51 CLARKSON AVE , Toronto, ON, Canada",
38,43.7385,-79.4311172,"37 SOUTHBOURNE AVE , Toronto, ON, Canada",
39,43.6573112,-79.3832292,"33 ELM ST , Toronto, ON, Canada",
40,43.638545,-79.3858884,"249 QUEENS QUAY  W, Toronto, ON, Canada",
41,43.7867962,-79.2786094,"2575 MIDLAND AVE , Toronto, ON, Canada",
42,43.8034562,-79.3094156,"3080 BIRCHMOUNT RD , Toronto, ON, Canada",
43,43.672888,-79.3197747,"1616 GERRARD ST E, Toronto, ON, Canada",
44,43.7536124,-79.254865,"2847 LAWRENCE AVE E, Toronto, ON, Canada",
45,43.7298394,-79.4796731,"7 HAWKSDALE RD , Toronto, ON, Canada",
46,43.679352,-79.3416591,"783 DANFORTH AVE , Toronto, ON, Canada",
47,43.7379938,-79.5670669,"1144 ALBION RD , Toronto, ON, Canada",
48,43.5995979,-79.5099961,"3057 LAKE SHORE BLVD W, Toronto, ON, Canada",
49,43.7489751,-79.5607155,"2560 FINCH AVE W, Toronto, ON, Canada",
50,43.6126769,-79.5192179,"25 CONNELL CRT , Toronto, ON, Canada",
51,43.7407263,-79.5869848,"1545 ALBION RD , Toronto, ON, Canada",
52,43.7427624,-79.5870571,"1530 ALBION RD , Toronto, ON, Canada",
53,43.6436869,-79.5653487,"399 THE WEST MALL  , Toronto, ON, Canada",
54,43.6012038,-79.5484419,"544 HORNER AVE , Toronto, ON, Canada",
55,43.6488952,-79.4204319,"219 OSSINGTON AVE , Toronto, ON, Canada",
56,43.650126,-79.3999965,"75 AUGUSTA SQ , Toronto, ON, Canada",
57,43.6490516,-79.3717741,"93 FRONT ST E, Toronto, ON, Canada",
58,43.6408507,-79.4359336,"1446 QUEEN ST W, Toronto, ON, Canada",
59,43.8285786,-79.2491479,"3001 MARKHAM RD , Toronto, ON, Canada",
60,43.7030051,-79.5246756,"2151 WESTON RD , Toronto, ON, Canada",
61,43.7096995,-79.4129132,"391 ST CLEMENTS AVE , Toronto, ON, Canada",
62,43.670413,-79.3463711,"603 LOGAN AVE , Toronto, ON, Canada",
63,43.6573037,-79.4051348,"380 COLLEGE ST , Toronto, ON, Canada",
64,43.6499992,-79.4820306,"2372 BLOOR ST W, Toronto, ON, Canada",
65,43.7379046,-79.4345882,"3772 BATHURST ST , Toronto, ON, Canada",
66,43.740984,-79.419513,"148 WILSON AVE , Toronto, ON, Canada",
67,43.680737,-79.2863126,"988 KINGSTON RD , Toronto, ON, Canada",
68,43.6537184,-79.3909035,"109 MC CAUL ST , Toronto, ON, Canada",
69,43.6448003,-79.5329217,"5112 DUNDAS ST W, Toronto, ON, Canada",
70,43.7330198,-79.4659443,"45 ANCASTER RD , Toronto, ON, Canada",
71,43.656345,-79.3989615,"383 SPADINA AVE , Toronto, ON, Canada",
72,43.6776621,-79.3937859,"80 ROXBOROUGH ST W, Toronto, ON, Canada",
73,43.6728084,-79.4140333,"1085 BATHURST ST , Toronto, ON, Canada",
74,43.7643886,-79.302042,"1544 WARDEN AVE , Toronto, ON, Canada",
75,43.6498786,-79.4826734,"2394 BLOOR ST W, Toronto, ON, Canada",
76,43.6750659,-79.4066496,"262 DUPONT ST , Toronto, ON, Canada",
77,43.7735668,-79.5232429,"360 HULLMAR DR , Toronto, ON, Canada",
78,43.6392959,-79.5378398,"5236 DUNDAS ST W, Toronto, ON, Canada",
79,43.6729982,-79.4141649,"1093 BATHURST ST , Toronto, ON, Canada",
80,43.6480698,-79.5687522,"450 THE WEST MALL  , Toronto, ON, Canada",
81,43.730314,-79.419173,"1800 AVENUE RD , Toronto, ON, Canada",
82,43.8095968,-79.3555072,"55 FRESHMEADOW DR , Toronto, ON, Canada",
83,43.6789648,-79.4828691,"99 HUMBER BLVD , Toronto, ON, Canada",
84,43.702167,-79.387413,"525 MOUNT PLEASANT RD , Toronto, ON, Canada",
