"","ESTABLISHMENT_ID","IsED","Inspection","Minor","Significant","Crucial","Total"
"1","10185207",0,4,0,0,0,0
"2","10185216",0,6,2,1,1,4
"3","10185464",0,1,1,0,0,1
"4","10185511",0,6,3,3,0,6
"5","10185533",0,4,0,0,0,0
"6","10185562",0,9,10,15,1,26
"7","10185572",0,3,4,2,0,6
"8","10185696",0,4,4,0,0,4
"9","10186202",0,5,1,0,0,1
"10","10186209",0,3,0,0,0,0
"11","10186218",0,2,0,0,0,0
"12","10186365",0,1,0,0,0,0
"13","10186467",0,1,0,0,0,0
"14","10186502",0,3,0,0,0,0
"15","10186546",0,5,5,3,1,9
"16","10186651",0,1,0,1,0,1
"17","10186689",0,7,1,3,0,4
"18","10186695",0,3,1,1,1,3
"19","10186737",0,1,0,0,0,0
"20","10186738",0,4,3,3,0,6
"21","10186811",0,3,2,6,0,8
"22","10186867",0,4,0,0,0,0
"23","10186892",0,3,0,0,0,0
"24","10187087",0,4,1,1,0,2
"25","10187303",0,8,2,2,1,5
"26","10187408",0,2,0,1,0,1
"27","10187419",0,1,0,0,0,0
"28","10187444",0,4,0,0,0,0
"29","10187448",0,3,1,1,1,3
"30","10187502",0,1,0,0,0,0
"31","10187555",0,2,0,0,0,0
"32","10187658",0,5,0,0,0,0
"33","10187687",0,3,1,0,0,1
"34","10187696",0,1,0,0,0,0
"35","10187739",0,1,0,0,0,0
"36","10187740",0,1,0,0,0,0
"37","10187754",0,7,6,2,1,9
"38","10187860",0,5,0,0,0,0
"39","10187946",0,5,7,7,0,14
"40","10187987",0,3,7,1,0,8
"41","10188034",0,1,0,0,0,0
"42","10188062",0,4,1,1,0,2
"43","10188112",0,2,0,0,0,0
"44","10188157",0,8,2,0,0,2
"45","10188196",0,4,4,1,0,5
"46","10188233",0,6,0,0,0,0
"47","10188398",0,4,0,1,0,1
"48","10188415",0,4,0,0,0,0
"49","10188474",0,4,0,0,0,0
"50","10188481",0,4,5,3,1,9
"51","10188739",0,6,3,0,0,3
"52","10188945",0,3,3,0,0,3
"53","10188976",0,3,1,3,2,6
"54","10189021",0,2,0,0,0,0
"55","10189064",0,1,0,0,0,0
"56","10189075",0,4,0,1,0,1
"57","10189077",0,4,0,1,0,1
"58","10189129",0,4,3,0,0,3
"59","10189141",0,2,0,0,0,0
"60","10189144",0,4,5,0,0,5
"61","10189204",0,6,0,0,0,0
"62","10189358",0,3,0,0,0,0
"63","10189369",0,6,8,16,3,27
"64","10189395",0,3,0,0,0,0
"65","10189403",0,2,1,1,0,2
"66","10189406",0,3,0,0,0,0
"67","10189677",0,2,0,0,0,0
"68","10189697",0,6,4,3,0,7
"69","10189706",0,3,0,0,0,0
"70","10189830",0,6,3,0,0,3
"71","10189834",0,4,2,0,0,2
"72","10189919",0,5,5,3,0,8
"73","10190054",0,5,10,3,1,14
"74","10190076",0,4,0,0,0,0
"75","10190082",0,2,1,0,0,1
"76","10190118",0,6,7,2,0,9
"77","10190119",0,1,0,0,0,0
"78","10190126",0,2,0,0,0,0
"79","10190139",0,5,3,5,0,8
"80","10190156",0,6,5,1,0,6
"81","10190260",0,4,0,0,0,0
"82","10190274",0,3,3,0,0,3
"83","10190346",0,5,1,5,0,6
"84","10190483",0,4,1,0,0,1
"85","10190577",0,3,1,0,0,1
"86","10190601",0,2,2,2,0,4
"87","10190625",0,3,0,0,0,0
"88","10190737",0,3,0,0,0,0
"89","10190751",0,4,0,0,0,0
"90","10190775",0,2,0,0,0,0
"91","10190827",0,4,1,1,0,2
"92","10190876",0,2,0,1,0,1
"93","10190956",0,4,0,0,0,0
"94","10191241",0,4,0,0,0,0
"95","10191243",0,4,1,1,0,2
"96","10191335",0,5,2,1,0,3
"97","10191362",0,4,2,1,0,3
"98","10191372",0,9,10,6,1,17
"99","10191496",0,4,4,1,0,5
"100","10191594",0,6,1,0,0,1
"101","10191748",0,7,16,2,0,18
"102","10191813",0,3,1,3,0,4
"103","10191833",0,8,21,26,6,53
"104","10191924",0,10,9,7,2,18
"105","10191928",0,4,0,3,0,3
"106","10192004",1,4,3,0,0,3
"107","10192032",0,2,2,0,0,2
"108","10192053",0,1,0,0,0,0
"109","10192185",0,3,0,0,0,0
"110","10192200",0,4,1,0,0,1
"111","10192229",0,4,0,0,0,0
"112","10192244",0,1,0,0,0,0
"113","10192250",0,7,5,14,2,21
